ax,ay,az,gx,gy,gz,mx,my,mz,Yaw,Pitch,Roll,rate
-187.38,-122.25,765.5,0.01,-0.05,-0.08,50273,3111,2407,-116.92,-21.29,18.26,4.29
-183.96,-121.95,767.27,-0.01,-0.05,-0.05,50255,3104,2394,-102.37,44.5,-42.59,4.29
-182.56,-121.83,768.07,-0.01,0.01,-0.03,50255,3108,2397,-120.15,-9.82,35.01,4.29
-185.0,-121.03,767.09,-0.01,0.14,0.0,50253,3102,2402,-103.74,19.25,-52.98,4.29
-185.3,-122.5,766.91,0.02,-0.08,0.02,50232,3106,2392,-96.52,8.87,39.23,4.29
-180.85,-122.86,767.03,-0.05,-0.04,-0.12,50246,3109,2416,-95.74,-0.33,-54.38,4.29
-176.27,-121.89,772.28,-0.07,-0.34,-0.3,50267,3106,2420,-59.4,31.1,51.42,4.29
-183.17,-120.54,764.04,0.04,-0.05,0.11,50244,3108,2407,-84.42,-22.01,-43.36,4.29
-186.71,-124.15,767.82,-0.05,-0.04,-0.18,50226,3108,2411,-29.44,53.73,55.25,4.29
-185.79,-125.0,764.4,-0.11,-0.02,0.04,50242,3109,2406,-96.31,-28.44,-2.49,4.29
-184.33,-121.64,769.17,0.03,-0.05,0.03,50253,3109,2399,-103.73,53.28,-28.81,4.29
-185.0,-122.07,767.52,0.0,-0.11,-0.05,50244,3104,2411,-118.94,-18.0,25.47,4.29
-185.67,-124.88,763.18,0.03,-0.09,0.02,50260,3099,2395,-105.76,35.17,-48.54,4.29
-184.75,-120.36,765.14,-0.01,0.06,-0.05,50248,3115,2414,-114.24,-4.82,36.83,4.29
-184.39,-123.66,767.58,-0.02,0.02,-0.01,50246,3124,2409,-102.39,12.96,-54.51,4.29
-186.65,-124.39,763.85,-0.06,-0.03,0.05,50250,3102,2406,-85.4,16.74,42.19,4.29
-186.58,-122.8,767.52,-0.01,-0.02,-0.08,50246,3120,2413,-92.11,-7.51,-52.52,4.29
-183.96,-123.9,768.19,0.02,0.05,-0.05,50267,3109,2416,-42.53,38.65,57.98,4.29
-187.01,-124.57,764.1,-0.02,-0.14,-0.1,50244,3111,2401,-83.2,-27.87,-33.11,4.29
-185.3,-122.25,767.03,-0.03,-0.14,-0.05,50257,3109,2416,-51.09,61.9,28.63,4.29
-182.98,-121.4,766.36,-0.02,-0.16,-0.14,50241,3111,2421,-109.64,-23.76,11.84,4.29
-187.93,-123.9,767.15,0.0,0.08,-0.1,50248,3101,2414,-105.22,48.43,-39.2,4.29
-187.81,-122.31,765.69,0.05,-0.1,0.02,50253,3095,2406,-120.31,-12.17,32.75,4.29
-185.73,-124.21,765.5,-0.08,-0.12,-0.06,50266,3097,2414,-104.82,23.46,-52.22,4.29
-183.17,-122.62,770.63,-0.04,-0.2,-0.12,50251,3108,2411,-102.62,4.2,38.35,4.29
-187.07,-123.11,765.69,-0.06,0.12,0.01,50246,3106,2409,-98.8,4.69,-54.78,4.29
-184.69,-122.68,764.71,-0.07,-0.02,0.0,50251,3111,2418,-68.63,26.57,47.82,4.29
-186.58,-120.97,765.99,-0.06,-0.06,-0.07,50262,3108,2397,-86.97,-17.22,-47.3,4.29
-186.04,-121.34,767.52,-0.02,0.08,-0.03,50264,3102,2395,-29.1,47.82,60.55,4.29
-185.67,-126.65,766.05,-0.09,-0.14,-0.02,50250,3116,2416,-88.63,-30.6,-14.67,4.29
-184.2,-120.73,767.21,-0.03,-0.09,-0.01,50267,3095,2402,-93.26,58.18,-16.11,4.29
-183.9,-124.27,764.4,-0.05,-0.01,0.06,50244,3111,2401,-118.05,-20.7,20.42,4.29
-186.71,-123.11,763.37,0.0,-0.06,0.08,50244,3104,2414,-103.61,42.43,-44.59,4.29
-186.58,-124.21,765.75,-0.03,0.01,-0.02,50246,3095,2416,-119.09,-8.62,35.36,4.29
-183.78,-120.48,766.66,-0.05,-0.07,-0.05,50232,3099,2423,-103.13,17.67,-53.34,4.29
-185.79,-123.35,767.76,-0.09,0.04,-0.07,50242,3113,2399,-94.14,10.67,39.65,4.29
-188.6,-126.22,763.12,0.01,-0.04,-0.05,50242,3106,2399,-95.81,-1.09,-54.14,4.29
-186.77,-124.94,765.69,-0.03,-0.13,-0.03,50248,3097,2407,-55.44,32.96,52.84,4.29
-185.18,-122.38,764.59,0.02,-0.2,-0.09,50244,3097,2411,-84.14,-23.42,-41.24,4.29
-186.34,-125.98,769.35,0.01,-0.02,-0.01,50239,3106,2416,-31.91,55.91,51.27,4.29
-190.37,-123.47,760.68,-0.13,0.02,-0.06,50262,3118,2418,-99.61,-26.65,1.16,4.29
-186.04,-122.31,768.25,-0.03,-0.02,0.09,50234,3101,2407,-104.36,52.21,-31.09,4.29
-187.07,-123.72,766.11,0.03,-0.2,0.08,50237,3101,2404,-119.37,-16.75,26.74,4.29
-185.97,-121.89,763.73,0.06,-0.06,-0.06,50241,3108,2401,-105.37,33.21,-48.85,4.29
-189.27,-123.66,762.08,-0.07,-0.11,0.01,50278,3113,2402,-112.59,-3.51,36.26,4.29
-186.83,-122.5,768.62,0.0,-0.04,-0.1,50257,3113,2392,-101.8,12.56,-54.36,4.29
-183.04,-124.08,768.01,0.11,-0.18,0.03,50253,3102,2395,-85.45,16.64,42.06,4.29
-186.34,-122.25,766.42,-0.05,-0.06,-0.09,50257,3120,2416,-92.29,-7.3,-52.4,4.29
-187.62,-123.54,767.03,0.05,-0.09,-0.07,50253,3088,2399,-42.43,38.73,57.98,4.29
-185.06,-122.07,764.47,-0.06,-0.02,-0.01,50242,3099,2413,-82.91,-28.18,-32.9,4.29
-187.62,-124.76,767.4,0.01,0.03,-0.04,50244,3118,2407,-52.05,62.42,27.03,4.29
-184.2,-123.23,767.09,0.04,0.02,-0.04,50250,3113,2423,-110.42,-23.15,12.87,4.29
-187.19,-125.67,765.38,-0.05,-0.01,-0.05,50242,3106,2413,-105.2,47.49,-40.27,4.29
-183.84,-122.86,766.6,-0.14,-0.02,-0.09,50241,3101,2414,-120.43,-11.85,33.36,4.29
-185.42,-122.5,767.58,-0.1,-0.08,0.0,50260,3106,2402,-104.75,22.6,-52.26,4.29
-184.02,-121.83,763.0,-0.02,-0.09,0.02,50257,3092,2420,-101.23,5.31,38.39,4.29
-185.18,-123.41,762.45,-0.07,-0.03,0.08,50257,3099,2406,-98.09,3.61,-54.76,4.29
-186.77,-123.78,768.74,0.09,-0.09,-0.04,50241,3101,2418,-66.2,27.86,48.69,4.29
-186.22,-121.4,764.59,-0.07,0.02,-0.06,50255,3104,2411,-86.35,-18.45,-46.34,4.29
-186.1,-123.41,764.83,0.05,0.07,-0.02,50232,3106,2399,-28.43,49.33,59.67,4.29
-187.19,-121.7,768.55,-0.05,0.01,-0.02,50250,3099,2399,-90.36,-30.16,-10.9,4.29
-186.4,-120.06,768.92,-0.07,-0.07,0.01,50276,3125,2401,-98.17,56.39,-21.19,4.29
-186.77,-124.02,764.89,-0.05,-0.02,-0.1,50271,3116,2389,-118.26,-19.96,21.62,4.29
-184.75,-124.08,766.48,-0.04,-0.06,-0.08,50260,3099,2409,-104.01,40.43,-45.68,4.29
-186.16,-122.8,764.71,-0.01,-0.08,0.02,50260,3116,2409,-117.98,-7.76,35.73,4.29
-185.97,-123.72,763.98,-0.02,-0.05,-0.04,50267,3116,2389,-103.26,16.72,-53.85,4.29
-183.78,-122.8,763.0,0.02,-0.04,-0.03,50267,3120,2416,-92.46,11.85,40.37,4.29
-185.79,-123.17,766.72,-0.02,-0.1,0.07,50237,3097,2401,-94.69,-2.83,-53.85,4.29
-184.33,-123.23,767.03,-0.1,-0.05,-0.01,50260,3113,2406,-52.09,34.42,54.27,4.29
