ax,ay,az,gx,gy,gz,mx,my,mz,Yaw,Pitch,Roll,rate
-163.02,-163.27,834.17,-0.06,-0.08,0.02,50193,3116,2375,-121.38,-21.16,20.51,4.29
-163.39,-163.88,836.98,-0.02,0.01,-0.14,50187,3125,2373,-96.97,40.42,-47.28,4.29
-163.82,-163.51,833.37,-0.07,-0.06,0.0,50193,3127,2375,-122.16,-10.04,35.45,4.29
-164.43,-163.39,831.36,-0.01,-0.04,0.06,50201,3132,2377,-98.69,15.12,-57.09,4.29
-163.33,-164.06,830.14,-0.06,-0.08,-0.01,50185,3120,2385,-95.81,9.26,37.9,4.29
-161.44,-162.9,835.02,0.05,0.01,0.05,50191,3118,2370,-92.47,-3.61,-56.42,4.29
-162.96,-161.25,834.29,-0.13,0.01,-0.03,50196,3134,2375,-56.01,32.77,51.23,4.29
-160.83,-162.41,839.48,0.05,-0.01,0.03,50193,3113,2378,-83.0,-25.84,-41.5,4.29
-163.57,-161.99,833.98,-0.03,-0.05,-0.09,50178,3127,2375,-33.77,56.1,47.36,4.29
-164.98,-164.37,838.01,-0.11,-0.02,0.01,50177,3104,2380,-102.19,-27.06,3.4,4.29
-161.68,-162.66,832.58,-0.05,-0.07,-0.08,50187,3129,2387,-103.07,48.55,-36.27,4.29
-165.89,-164.79,832.09,-0.05,0.0,-0.09,50184,3118,2380,-123.05,-16.6,27.66,4.29
-164.98,-163.09,835.69,-0.03,0.13,-0.08,50184,3132,2397,-98.95,29.23,-52.74,4.29
-162.48,-162.48,837.28,-0.04,0.07,0.0,50196,3109,2375,-114.43,-4.85,35.9,4.29
-162.66,-165.89,833.37,-0.01,-0.14,0.02,50221,3127,2378,-97.63,9.53,-57.99,4.29
-166.2,-166.69,833.74,-0.01,-0.05,-0.11,50214,3131,2368,-85.1,16.88,40.46,4.29
-164.06,-163.51,834.96,-0.02,0.07,-0.05,50193,3120,2385,-89.69,-10.49,-53.91,4.29
-164.25,-163.64,834.78,0.02,0.09,-0.05,50182,3116,2385,-40.9,39.35,57.27,4.29
-161.99,-163.33,835.57,-0.09,-0.08,0.0,50193,3127,2392,-82.7,-30.49,-31.02,4.29
-162.84,-161.01,835.75,-0.06,-0.12,0.01,50198,3132,2404,-61.02,61.29,15.42,4.29
-163.57,-163.64,834.72,-0.02,-0.03,-0.01,50198,3132,2387,-114.79,-22.93,13.42,4.29
-164.25,-162.84,831.6,-0.05,-0.01,-0.03,50180,3136,2377,-97.51,46.07,-42.01,4.29
-164.49,-167.11,835.63,-0.05,-0.15,0.02,50184,3122,2383,-124.22,-12.56,33.18,4.29
-162.54,-161.74,833.13,-0.04,0.08,0.05,50189,3127,2378,-98.22,19.81,-55.78,4.29
-163.15,-163.51,834.9,-0.02,-0.1,-0.03,50203,3131,2371,-103.45,3.33,36.48,4.29
-162.66,-163.33,840.33,-0.04,0.13,0.0,50198,3122,2373,-94.89,2.12,-57.35,4.29
-163.7,-163.76,833.13,0.0,0.02,0.01,50196,3131,2375,-69.39,26.32,45.55,4.29
-162.17,-162.35,835.02,-0.02,0.03,-0.07,50198,3132,2366,-85.84,-19.43,-47.91,4.29
-163.09,-162.84,834.53,-0.05,0.11,0.05,50209,3115,2380,-29.84,47.92,58.0,4.29
-161.44,-160.1,835.39,-0.05,-0.14,0.09,50178,3124,2371,-90.01,-31.42,-12.06,4.29
-162.9,-162.48,834.35,-0.04,-0.08,0.05,50196,3131,2375,-96.66,54.36,-23.76,4.29
-164.55,-164.12,835.69,-0.05,0.08,-0.02,50185,3124,2358,-121.68,-20.72,21.36,4.29
-165.28,-164.49,829.65,-0.04,0.02,0.03,50196,3141,2378,-97.53,39.44,-48.33,4.29
-160.89,-162.9,836.0,-0.15,-0.05,-0.02,50193,3134,2382,-121.74,-9.7,35.95,4.29
-163.09,-161.56,833.37,0.02,0.05,-0.01,50200,3138,2375,-98.81,14.22,-57.1,4.29
